GEOID,all,count
17031460100,all,33
17031460200,all,12
17031460301,all,13
17031460302,all,34
17031460400,all,28
17031460500,all,27
17031460600,all,9
17031460700,all,20
17031461000,all,7
17031470100,all,21
17031480100,all,2
17031480200,all,2
17031480300,all,6
17031480400,all,15
17031480500,all,6
17031490300,all,2
17031490400,all,7
17031490500,all,6
17031490600,all,13
17031490700,all,18
17031490800,all,20
17031490901,all,20
17031490902,all,22
17031491000,all,43
17031491100,all,23
17031491200,all,12
17031491300,all,26
17031491400,all,34
17031500100,all,4
17031500200,all,11
17031500300,all,4
17031510100,all,3
17031510200,all,10
17031510300,all,25
17031520100,all,3
17031520200,all,7
17031520300,all,15
17031520400,all,2
17031520500,all,2
17031520600,all,0
17031530100,all,11
17031530200,all,48
17031530300,all,21
17031530400,all,15
17031530501,all,31
17031530502,all,2
17031530503,all,22
17031530600,all,22
17031540101,all,28
17031540102,all,23
17031550100,all,4
17031550200,all,6
17031560100,all,5
17031560200,all,18
17031560300,all,2
17031560400,all,1
17031560700,all,4
17031560800,all,2
17031560900,all,0
17031561000,all,3
17031561100,all,0
17031570100,all,2
17031570200,all,3
17031570300,all,10
17031570400,all,4
17031570500,all,2
17031580100,all,5
17031580200,all,9
17031580300,all,4
17031580400,all,11
17031580501,all,12
17031580502,all,8
17031580600,all,12
17031580700,all,12
17031580800,all,8
17031590500,all,4
17031590600,all,2
17031590700,all,2
17031600400,all,0
17031600600,all,1
17031600700,all,6
17031600900,all,8
17031610300,all,29
17031610400,all,14
17031610800,all,0
17031611000,all,11
17031611100,all,10
17031611200,all,22
17031611300,all,12
17031611400,all,14
17031611500,all,7
17031611600,all,24
17031611700,all,22
17031611800,all,7
17031611900,all,25
17031612000,all,12
17031612100,all,13
17031620100,all,4
17031620200,all,2
17031620300,all,7
17031620400,all,7
17031630100,all,4
17031630200,all,4
17031630300,all,5
17031630400,all,16
17031630500,all,16
17031630800,all,22
17031630900,all,7
17031640100,all,2
17031640300,all,2
17031640400,all,1
17031640500,all,0
17031640600,all,1
17031640700,all,1
17031640800,all,4
17031650100,all,4
17031650200,all,10
17031650301,all,3
17031650302,all,1
17031650400,all,5
17031650500,all,4
17031660301,all,12
17031660302,all,21
17031660400,all,7
17031660500,all,12
17031660600,all,34
17031660700,all,19
17031660800,all,11
17031660900,all,33
17031661000,all,32
17031661100,all,11
17031670100,all,13
17031670200,all,11
17031670300,all,16
17031670400,all,19
17031670500,all,9
17031670600,all,15
17031670700,all,15
17031670800,all,19
17031670900,all,8
17031671100,all,11
17031671200,all,12
17031671300,all,17
17031671400,all,24
17031671500,all,37
17031671600,all,16
17031671800,all,13
17031671900,all,18
17031672000,all,29
17031680500,all,16
17031680600,all,12
17031680900,all,20
17031681000,all,28
17031681100,all,38
17031681200,all,28
17031681300,all,23
17031681400,all,39
17031690300,all,14
17031690400,all,41
17031690500,all,9
17031690900,all,26
17031691000,all,17
17031691100,all,19
17031691200,all,27
17031691300,all,13
17031691400,all,41
17031691500,all,29
17031700100,all,11
17031700200,all,6
17031700301,all,3
17031700302,all,2
17031700401,all,12
17031700402,all,3
17031700501,all,16
17031700502,all,6
17031710100,all,8
17031710200,all,28
17031710300,all,7
17031710400,all,32
17031710500,all,16
17031710600,all,12
17031710700,all,12
17031710800,all,22
17031710900,all,11
17031711000,all,17
17031711100,all,24
17031711200,all,22
17031711300,all,11
17031711400,all,13
17031711500,all,13
17031720100,all,1
17031720200,all,2
17031720300,all,0
17031720400,all,0
17031720500,all,0
17031720600,all,0
17031720700,all,1
17031730100,all,8
17031730201,all,27
17031730202,all,12
17031730300,all,12
17031730400,all,19
17031730500,all,17
17031730600,all,16
17031730700,all,11
17031740100,all,1
17031740200,all,0
17031740300,all,0
17031740400,all,0
17031750100,all,16
17031750200,all,0
17031750300,all,1
17031750400,all,1
17031750500,all,19
17031750600,all,26
17031760801,all,2
17031760802,all,0
17031760803,all,2
17031770901,all,0
17031770902,all,0
17031805402,all,0
17031805502,all,0
17031805600,all,0
17031805702,all,0
17031807600,all,0
17031807800,all,0
17031807900,all,0
17031808001,all,0
17031808002,all,0
17031808100,all,0
17031810000,all,0
17031810200,all,0
17031810301,all,0
17031810400,all,0
17031810501,all,0
17031810502,all,0
17031810600,all,0
17031810701,all,0
17031810702,all,0
17031810800,all,0
17031810900,all,0
17031811100,all,0
17031811500,all,0
17031811900,all,0
17031812100,all,1
17031812200,all,0
17031812500,all,0
17031812600,all,0
17031813000,all,0
17031813100,all,1
17031813301,all,0
17031813302,all,0
17031813400,all,0
17031813500,all,0
17031813801,all,0
17031814200,all,0
17031820300,all,0
17031820400,all,0
17031820502,all,0
17031820700,all,0
17031820800,all,0
17031820901,all,1
17031820902,all,0
17031821102,all,0
17031821200,all,0
17031821401,all,0
