id,GEOID
233,17031730500
862,17031730600
441,17031730700
560,17031740100
823,17031740200
141,17031740300
534,17031740400
485,17031750100
332,17031750200
560,17031750300
617,17031750400
599,17031750500
853,17031750600
252,17031760801
335,17031760802
473,17031760803
582,17031770500
823,17031770602
295,17031770700
295,17031770800
223,17031770901
335,17031770902
335,17031805402
480,17031805502
252,17031805600
480,17031805702
480,17031807600
480,17031807800
480,17031807900
480,17031808001
257,17031808002
303,17031808100
303,17031810000
407,17031810200
435,17031810301
492,17031810400
582,17031810501
473,17031810502
473,17031810600
473,17031810701
473,17031810702
434,17031810800
823,17031810900
823,17031811100
480,17031811500
480,17031811600
480,17031811701
480,17031811900
486,17031812100
486,17031812200
332,17031812500
582,17031812600
130,17031813000
303,17031813100
329,17031813301
486,17031813302
130,17031813400
486,17031813500
823,17031813801
303,17031814200
556,17031820300
303,17031820400
130,17031820502
617,17031820700
626,17031820800
465,17031820901
332,17031820902
859,17031821102
223,17031821200
223,17031821401
480,17031821402
480,17031821500
480,17031821600
480,17031821700
626,17031821900
442,17031822000
458,17031822101
626,17031822701
626,17031822702
295,17031822802
295,17031823200
295,17031823303
295,17031823304
116,17031823400
130,17031823500
130,17031825700
458,17031825801
223,17031826401
223,17031826500
851,17031830500
223,17031830600
503,17031830700
480,17031830800
480,17031830900
480,17031831000
765,17031831100
765,17031831200
765,17031831300
765,17031831400
480,17031831500
480,17031831600
458,17031831700
626,17031831800
332,17031831900
626,17031832000
332,17031832100
116,17031832200
295,17031832300
295,17031832400
295,17031832500
295,17031832600
295,17031832900
802,17031833000
855,17031833100
855,17031833300
784,17031833900
784,17031834000
786,17031834200
787,17031834300
339,17031834400
520,17031834500
790,17031834600
791,17031834700
814,17031834800
793,17031834900
794,17031835000
795,17031835100
821,17031835200
373,17031835500
604,17031835600
808,17031835700
808,17031835800
801,17031835900
802,17031836000
803,17031836100
295,17031836200
855,17031836300
823,17031836400
604,17031836500
808,17031836600
809,17031836700
361,17031836800
869,17031836900
466,17031837000
466,17031837100
814,17031837300
816,17031837400
816,17031837800
466,17031838000
821,17031838100
859,17031838200
821,17031838300
821,17031838600
822,17031838700
823,17031838800
823,17031839000
375,17031839100
486,17031839200
486,17031839500
655,17031839600
655,17031839700
838,17031839800
655,17031839900
332,17031840000
332,17031840100
821,17031840200
859,17031840300
859,17031840400
838,17031840700
838,17031840800
839,17031841000
295,17031841100
841,17031841200
540,17031841300
540,17031841400
844,17031841500
851,17031841600
375,17031841700
847,17031841800
407,17031841900
408,17031842000
850,17031842100
851,17031842200
851,17031842300
853,17031842400
503,17031842500
855,17031842600
856,17031842800
857,17031842900
858,17031843000
859,17031843100
841,17031843200
651,17031843300
862,17031843400
486,17031843500
226,17031843600
473,17031843700
866,17031843800
648,17031843900
859,17031980000
869,17031980100
130,17031990000
