GEOID,owner
17031810701,peaceful
17031810702,peaceful
17031810800,peaceful
17031810900,peaceful
17031811100,peaceful
17031811500,peaceful
17031811900,peaceful
17031812100,peaceful
17031812200,peaceful
17031812500,peaceful
17031812600,peaceful
17031813000,peaceful
17031813100,peaceful
17031813301,peaceful
17031813302,peaceful
17031813400,peaceful
17031813500,peaceful
17031813801,peaceful
17031814200,peaceful
17031820300,peaceful
17031820400,peaceful
17031820502,peaceful
17031820700,peaceful
17031820800,peaceful
17031820901,peaceful
17031820902,peaceful
17031821102,peaceful
17031821200,peaceful
17031821401,peaceful
17031821402,peaceful
17031821500,peaceful
17031821600,peaceful
17031821700,peaceful
17031821900,peaceful
17031822000,peaceful
17031822101,peaceful
17031822701,peaceful
17031822702,peaceful
17031822802,peaceful
17031823200,peaceful
17031823303,peaceful
17031823304,peaceful
17031823400,peaceful
17031823500,peaceful
17031825700,peaceful
17031825801,peaceful
17031826401,peaceful
17031826500,peaceful
17031830500,gangster disciples
17031830600,peaceful
17031830700,gangster disciples
17031830800,peaceful
17031830900,peaceful
17031831000,peaceful
17031831100,peaceful
17031831200,gangster disciples
17031831300,peaceful
17031831400,vice lords
17031831500,peaceful
17031831600,peaceful
17031831700,peaceful
17031831800,peaceful
17031831900,peaceful
17031832000,peaceful
17031832100,peaceful
17031832200,peaceful
17031832300,peaceful
17031832400,peaceful
17031832500,peaceful
17031832600,peaceful
17031832900,peaceful
17031833000,peaceful
17031833100,peaceful
17031833300,peaceful
17031833900,gangster disciples
17031834000,vice lords
17031834200,gangster disciples
17031834300,vice lords
17031834400,black p stones
17031834500,black p stones
17031834600,gangster disciples
17031834700,gangster disciples
17031834800,gangster disciples
17031834900,gangster disciples
17031835000,gangster disciples
17031835100,black p stones
17031835200,peaceful
17031835500,gangster disciples
17031835600,gangster disciples
17031835700,peaceful
17031835800,vice lords
17031835900,gangster disciples
17031836000,black p stones
17031836100,gangster disciples
17031836200,peaceful
17031836300,peaceful
17031836400,black p stones
17031836500,peaceful
17031836600,gangster disciples
17031836700,vice lords
17031836800,vice lords
17031836900,vice lords
17031837000,black p stones
17031837100,black p stones
17031837300,vice lords
