GEOID,gangster disciples,black p stones,peaceful,latin kings,vice lords,black disciples,two-six
17031570500,0,0,1,0,0,0,0
17031580100,0.01,0,0.98,0,0,0,0.01
17031580200,0.21,0.14,0.63,0,0.02,0,0
17031580300,0.02,0.02,0.94,0,0.02,0,0
17031580400,0.15,0.18,0.65,0.01,0.01,0,0
17031580501,0.17,0.1,0.53,0.01,0.19,0,0
17031580502,0.14,0.1,0.72,0,0.04,0,0
17031580600,0.12,0.2,0.53,0.02,0.12,0.01,0
17031580700,0.02,0.06,0.89,0,0.03,0,0
17031580800,0,0,1,0,0,0,0
17031590500,0.01,0,0.99,0,0,0,0
17031590600,0.1,0.04,0.86,0,0,0,0
17031590700,0,0,1,0,0,0,0
17031600400,0,0.01,0.99,0,0,0,0
17031600600,0,0.01,0.99,0,0,0,0
17031600700,0,0,1,0,0,0,0
17031600900,0.05,0.03,0.92,0,0,0,0
17031610300,0.21,0.31,0.03,0.04,0.35,0.04,0.02
17031610400,0.11,0.11,0.66,0.01,0.11,0,0
17031610800,0.03,0,0.97,0,0,0,0
17031611000,0.15,0.11,0.6,0.01,0.13,0,0
17031611100,0.26,0.37,0.19,0.01,0.14,0.01,0.02
17031611200,0.27,0.41,0.07,0.01,0.23,0.01,0
17031611300,0.07,0.02,0.91,0,0,0,0
17031611400,0.28,0.24,0.39,0.01,0.07,0,0.01
17031611500,0.28,0.2,0.46,0.01,0.04,0,0.01
17031611600,0.37,0.34,0.25,0,0.04,0,0
17031611700,0.32,0.26,0.15,0.03,0.2,0.03,0.01
17031611800,0.13,0.09,0.71,0,0.07,0,0
17031611900,0.46,0.29,0.04,0.03,0.16,0.02,0
17031612000,0.3,0.21,0.37,0.02,0.08,0.02,0
17031612100,0.21,0.19,0.31,0.01,0.26,0.02,0
17031620100,0,0,0.99,0,0.01,0,0
17031620200,0.01,0,0.99,0,0,0,0
17031620300,0.03,0,0.93,0,0.04,0,0
17031620400,0.02,0,0.98,0,0,0,0
17031630100,0.04,0.01,0.93,0,0.02,0,0
17031630200,0.08,0.02,0.88,0,0.02,0,0
