GEOID,total.x,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population,total.y,black,latino,percentage.black,percentage.latino
17031243000,1091,64,83,11,0,131,44,45,59,22,58,86,174,105,21,87,101,44438,10.701850238240384,2437,2437,40,916,0.016413623307345096,0.3758719737382027
17031243100,846,54,59,36,0,31,35,97,21,18,108,72,122,63,33,53,44,37030,10.519483673907658,1956,1956,93,971,0.04754601226993865,0.49642126789366053
17031243200,827,27,0,28,69,44,11,0,12,34,68,78,135,86,65,112,58,43214,10.673919795805615,1896,1896,13,729,0.006856540084388186,0.38449367088607594
17031243300,1218,113,35,9,69,55,23,47,57,53,80,184,155,108,30,91,109,45020,10.714862114460724,2427,2427,122,700,0.05026782035434693,0.288421920065925
17031243400,1292,100,63,31,53,75,33,66,44,47,109,191,142,173,110,20,35,34164,10.438927737066038,2734,2734,166,852,0.06071689831748354,0.31163130943672274
17031243500,1669,131,26,30,29,17,22,96,22,73,80,203,246,158,137,194,205,61019,11.018940570066889,3080,3080,393,402,0.1275974025974026,0.1305194805194805
17031250200,873,49,65,74,52,22,48,80,47,38,76,75,131,36,43,20,17,17354,9.761578306353435,3105,3105,1736,1273,0.559098228663446,0.4099838969404187
17031250300,1457,208,114,98,32,118,79,111,35,70,183,135,138,123,0,0,13,17208,9.753129670947565,4146,4146,3412,685,0.8229618909792571,0.1652194886637723
17031250400,1997,128,64,106,24,194,146,100,54,68,262,269,224,80,98,156,24,18643,9.833226019495461,7749,7749,5592,1907,0.721641502129307,0.2460962704865144
17031250500,2894,187,92,200,66,96,114,78,143,156,193,182,507,427,195,157,101,29441,10.290143539657238,7960,7960,2301,1911,0.289070351758794,0.2400753768844221
17031250600,1438,227,63,80,137,65,53,71,41,135,105,179,71,67,102,32,10,15831,9.669725322073777,5161,5161,4724,312,0.9153264871149002,0.060453400503778336
