GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita
170318076005,486,26,21,26,18,0,21,10,0,0,121,33,48,93,21,31,17,25650,10.152298850598916
170318077001,699,103,0,30,74,17,72,17,34,39,41,81,94,65,14,0,18,26649,10.190506905437811
170318077002,601,22,37,0,0,15,34,0,14,31,97,53,55,86,98,29,30,36418,10.502818436891788
170318077003,445,28,0,28,17,23,14,60,0,0,54,42,63,20,16,59,21,36898,10.51591262801771
170318077004,545,54,16,29,14,16,27,0,10,18,77,67,134,15,34,34,0,29015,10.275568216624709
170318078001,487,0,7,40,18,8,10,93,50,0,22,82,61,21,39,22,14,23742,10.075000910613479
170318078002,402,0,0,18,5,51,0,0,9,22,16,75,49,48,85,24,0,33360,10.415112856472684
170318079001,434,0,0,20,12,0,5,8,24,8,65,5,37,78,29,96,47,42584,10.659233874852593
170318079002,419,9,7,0,11,13,26,35,30,0,45,24,38,56,71,19,35,32960,10.403049984023408
170318079003,228,0,9,30,0,8,0,0,0,8,33,0,0,16,0,45,79,98351,11.49629799153369
170318079004,201,0,0,0,0,0,0,0,0,6,8,12,13,54,0,38,70,61136,11.020856169686681
170318080011,360,11,10,0,67,21,0,9,0,0,16,36,29,83,9,25,44,49054,10.800677011107881
170318080012,334,0,0,10,0,0,9,16,65,39,23,42,33,16,34,14,33,25424,10.143448888776497
170318080013,490,5,0,9,27,10,21,0,24,45,49,47,59,70,29,22,73,45116,10.716992229759807
170318080021,391,13,0,10,16,0,0,8,9,25,25,7,100,75,10,65,28,26624,10.189568343620936
170318080022,471,36,0,71,40,35,10,11,16,33,20,77,48,38,12,15,9,31299,10.351341427136079
170318080023,453,8,41,22,0,9,54,21,11,18,37,22,56,30,14,72,38,31492,10.357488824304358
170318080024,277,27,0,0,0,0,0,0,0,8,43,50,36,46,18,16,33,34232,10.440916158096654
170318081001,457,23,25,9,53,0,50,10,22,6,19,15,57,40,42,49,37,31402,10.354626864135467
170318081002,1021,41,97,74,94,73,64,69,74,27,125,88,42,86,25,19,23,29270,10.284318379685931
170318082001,780,11,36,65,61,34,139,34,30,30,49,71,80,84,9,47,0,21327,9.967729154597594
170318082002,413,10,26,13,16,19,13,8,13,0,10,41,111,69,15,17,32,28478,10.25688713834094
170318082003,597,29,0,26,71,10,121,66,16,15,41,85,83,18,0,16,0,20050,9.905984432734716
170318083011,297,41,0,48,9,9,19,18,0,50,8,34,19,30,12,0,0,22578,10.024731259821491
170318083012,915,49,56,22,18,69,60,22,26,31,18,171,103,84,101,64,21,33166,10.409280533774044
170318083013,409,10,20,19,10,0,20,16,0,0,30,29,86,83,0,46,40,38491,10.558179726714524
170318083014,372,0,44,10,8,11,0,0,28,0,30,17,89,90,24,9,12,30327,10.319793683822168
170318083021,455,0,0,47,61,10,9,21,17,17,24,65,35,62,59,0,28,27114,10.207805478639335
170318083022,708,36,35,10,74,16,66,44,79,20,43,83,63,82,49,0,8,30549,10.327087230839775
170318083023,256,0,0,11,0,0,20,0,19,0,34,52,23,21,38,28,10,34674,10.453745405545833
170318084001,523,0,9,22,21,0,0,12,11,11,21,108,85,97,28,44,54,32933,10.402230473559138
170318084002,284,0,0,0,47,0,18,18,23,9,17,13,32,52,32,13,10,40114,10.599480679545993
170318084003,604,48,33,21,21,21,24,12,55,18,45,72,50,66,78,32,8,27404,10.21844426712279
170318085001,110,0,0,0,0,7,0,0,0,41,26,9,15,0,0,0,12,39320,10.579488574261102
170318085002,371,0,0,10,0,32,0,0,10,23,97,30,6,32,33,41,57,43164,10.672762093483625
170318085003,292,16,0,0,0,18,0,9,0,33,7,13,57,38,65,28,8,33314,10.413733008037052
170318085004,300,0,20,0,10,0,18,0,38,12,0,45,6,80,29,15,27,32838,10.399341660371974
170318085005,273,20,10,0,10,0,10,0,0,8,78,49,14,40,21,13,0,26349,10.179185602585227
170318086001,355,7,7,7,0,0,7,3,0,17,4,7,20,14,42,43,177,85084,11.351394282783541
170318086002,269,0,6,0,7,11,0,10,6,0,8,39,45,28,10,44,55,43270,10.67521483321893
170318087021,440,95,12,0,0,12,30,12,0,26,34,37,47,24,27,65,19,8513,9.049349685884057
170318088001,711,13,49,24,0,7,63,22,21,0,89,77,83,50,44,46,123,50445,10.82863891284248
170318088002,762,33,0,12,0,0,22,48,25,26,38,45,69,32,55,83,274,70049,11.15695027614577
170318089001,639,35,0,0,17,0,20,0,10,38,39,54,136,25,38,62,165,67515,11.120105074395143
170318089002,308,0,0,0,0,0,17,23,51,0,18,0,40,21,24,26,88,67442,11.119023248226517
170318089003,822,0,0,26,12,16,0,91,39,7,49,37,78,113,124,72,158,55232,10.9192977744431
170318090001,299,0,0,0,0,0,0,0,29,12,13,12,10,32,0,87,104,84918,11.349441363961894
170318090002,265,11,0,0,0,0,0,0,0,0,0,0,21,34,46,47,106,104752,11.559350930680873
170318090003,699,29,55,39,9,19,47,41,9,0,33,41,74,79,30,55,139,62367,11.040791568315225
170318090004,392,9,0,0,10,0,22,47,23,19,18,7,79,43,68,21,26,31475,10.356948858912547
