GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population
17031690500,462,91,18,39,93,38,1,0,30,12,20,0,60,33,27,0,0,16323,9.700330435154035,1464
17031690900,1896,234,177,85,89,183,188,142,79,176,180,65,225,39,12,0,22,18106,9.803998654035386,4734
17031691000,1143,87,55,26,118,69,140,105,61,55,108,95,111,103,10,0,0,21321,9.967447781495006,2756
17031691100,1378,341,156,96,93,128,121,32,44,0,73,149,104,41,0,0,0,12254,9.4136076932856,3852
17031691200,1130,136,101,118,130,48,48,10,19,137,75,178,87,23,0,0,20,21886,9.993602441978389,2747
17031691300,1141,33,101,159,56,80,81,74,35,129,100,77,60,101,23,32,0,23119,10.048410069255738,2600
17031691400,1565,285,114,78,246,45,58,75,43,82,178,136,118,50,25,32,0,17687,9.780585185434793,3896
17031691500,853,139,54,129,107,30,42,31,63,11,130,20,43,18,32,4,0,15714,9.662307313735766,2074
17031700100,1022,11,22,101,43,30,24,75,57,57,96,160,171,70,37,68,0,18419,9.821138019519102,3842
17031700200,1886,90,86,96,55,120,77,107,74,75,296,214,294,201,64,37,0,16959,9.738553945343401,7024
